Dzielnica,Nazwa jednostki,Nazwa placówki,Adres,Dyrektor,Telefon,Odnośnik
Wola,Młodzieżowy Dom Kultury,Zespół Wolskich Placówek Edukacji Kulturalnej,ul. Jana Brożka 1a Warszawa,Magdalena Borucka,228361313,przeglądaj
Bielany,"Młodzieżowy Dom Kultury ""Bielany""","Młodzieżowy Dom Kultury ""Bielany""",ul. Cegłowska 39 Warszawa,Joanna Boldin,228341347,przeglądaj
Mokotów,"Młodzieżowy Dom Kultury ""Mokotów""","Młodzieżowy Dom Kultury ""Mokotów""",ul. Puławska 97 Warszawa,Marek Masłowski,228455121,przeglądaj
Śródmieście,"Młodzieżowy Dom Kultury ""Muranów"" im. C.K. Norwida","Młodzieżowy Dom Kultury ""Muranów"" im. C.K. Norwida",ul. Stawki 10 Warszawa,Bernadetta Neumann-Kochańska,226350140,przeglądaj
Ochota,"Młodzieżowy Dom Kultury ""Ochota""","Młodzieżowy Dom Kultury ""Ochota""",ul. Rokosowska 10 Warszawa,Anna Szwed,228222895,przeglądaj
Bielany,Młodzieżowy Dom Kultury im. Marii Gwizdak,Młodzieżowy Dom Kultury im. Marii Gwizdak,ul. Hansa Christiana Andersena 4 Warszawa,Maria Pyszkiewicz,228359347,przeglądaj
Śródmieście,Młodzieżowy Dom Kultury im. Wł. Broniewskiego,Młodzieżowy Dom Kultury im. Wł. Broniewskiego,ul. Łazienkowska 7 Warszawa,Honorata Waszkiewicz,226293206,przeglądaj
Bielany,Młodzieżowy Ośrodek Socjoterapii nr 4,Zespół Placówek Opiekuńczo-Wychowawczych,Aleja Władysława Reymonta 16 Warszawa,Małgorzata Gontarek,228348684,przeglądaj
Żoliborz,"Ognisko Pracy Pozaszkolnej ""Żoliborz""","Ognisko Pracy Pozaszkolnej ""Żoliborz""",ul. ks. Jerzego Popiełuszki 13 Warszawa,Izabela Deniszewska,228394241,przeglądaj
Mokotów,Ognisko Pracy Pozaszkolnej 175,Ognisko Pracy Pozaszkolnej 175,ul. Niegocińska 2 Warszawa,Maria Popławska-Staniszewska,228534724,przeglądaj
Praga Południe,"Ognisko Pracy Pozaszkolnej nr 1 ""Jordanek""","Ognisko Pracy Pozaszkolnej nr 1 ""Jordanek""",ul. Kwatery Głównej 11 Warszawa,Edyta Trębicka,226106777,przeglądaj
Praga Południe,Ognisko Pracy Pozaszkolnej nr 2 im. dr Henryka Jordana,Ognisko Pracy Pozaszkolnej nr 2 im. dr Henryka Jordana,ul. Alfreda Nobla 18 Warszawa,Wiesława Maj,226175962,przeglądaj
Praga Południe,Ognisko Pracy Pozaszkolnej nr 3,Ognisko Pracy Pozaszkolnej nr 3,ul. Józefa Dwernickiego 29a Warszawa,Jolanta Skrzyczewska,228700381,przeglądaj
Praga Południe,Ognisko Pracy Pozaszkolnej nr 4,Ognisko Pracy Pozaszkolnej nr 4,ul. Mieczysława Pawlikowskiego 3 Warszawa,Lucyna Melcer,226135546,przeglądaj
Ochota,Ognisko Pracy Pozaszkolnej przy Szkole Podstawowej nr 264,Ognisko Pracy Pozaszkolnej przy Szkole Podstawowej nr 264,ul. Walentego Skorochód-Majewskiego 17 Warszawa,Krzysztof Grochowski,228232438,przeglądaj
Mokotów,Ognisko Pracy Pozaszkolnej przy Szkole Podstawowej nr 70,Ognisko Pracy Pozaszkolnej przy Szkole Podstawowej nr 70,ul. Juliana Bruna 11 Warszawa,Krzysztof Gąsiorek,228256309,przeglądaj
Rembertów,Ogólnokształcąca Szkoła Muzyczna I Stopnia,Zespół Szkół nr 74,ul. Niepołomicka 26 Warszawa,Magdalena Saganowska,228798018,przeglądaj
Targówek,Ośrodek Dokształcania i Doskonalenia Zawodowego,Zespół Szkół nr 34 im. Mieszka I,ul. Mieszka I 7 Warszawa,Mieczysław Pietrucha,227442415,przeglądaj
Wola,Ośrodek Dokształcania i Doskonalenia Zawodowego nr 1,Centrum Kształcenia Zawodowego i Ustawicznego nr 1,ul. Księcia Janusza 45/47 Warszawa,Halina Matuszewska,228882777,przeglądaj
Mokotów,Ośrodek Rewalidacyjno-Wychowawczy nr 1,Zespół Placówek Szkolno-Wychowawczo-Rewalidacyjnych nr 1,ul. Bełska 5 Warszawa,Jolanta Krzepicka,228485530,przeglądaj
Śródmieście,Państwowe Ognisko Artystyczne,Państwowe Ognisko Artystyczne,ul. Nowolipki 9b Warszawa,Gabryella Miłowska-Moląg,226351960,przeglądaj
Śródmieście,Pałac Młodzieży,Pałac Młodzieży,Plac Defilad 1 Warszawa,Urszula Wacowska,226203363,przeglądaj
Śródmieście,Poradnia Psychologiczno-Pedagogiczna nr 1,Poradnia Psychologiczno-Pedagogiczna nr 1,ul. Świętokrzyska 18a Warszawa,Małgorzata Lipińska-Białach,228269986,przeglądaj
Bielany,Poradnia Psychologiczno-Pedagogiczna nr 10,Poradnia Psychologiczno-Pedagogiczna nr 10,ul. Wrzeciono 24 Warszawa,Ewa Kuczyńska,228350348,przeglądaj
Śródmieście,Poradnia Psychologiczno-Pedagogiczna nr 11,Poradnia Psychologiczno-Pedagogiczna nr 11,Aleje Jerozolimskie 30 lok. 5 Warszawa,Katarzyna Mazur,228251815,przeglądaj
Śródmieście,Poradnia Psychologiczno-Pedagogiczna nr 12,Poradnia Psychologiczno-Pedagogiczna nr 12,ul. Dzielna 1a Warszawa,Danuta Leyk,226369199,przeglądaj
Targówek,Poradnia Psychologiczno-Pedagogiczna nr 13,Poradnia Psychologiczno-Pedagogiczna nr 13,ul. św. Jacka Odrowąża 75 Warszawa,Marzenna Czarnocka,228112646,przeglądaj
Wola,Poradnia Psychologiczno-Pedagogiczna nr 14,Zespół Poradni Psychologiczno-Pedagogicznych nr 1,ul. Zawiszy 13 Warszawa,Katarzyna Sieradzan,226315773,przeglądaj
Ursus,Poradnia Psychologiczno-Pedagogiczna nr 15,Poradnia Psychologiczno-Pedagogiczna nr 15,ul. Dzieci Warszawy 42 Warszawa,Barbara Tomaszewska,228867328,przeglądaj
Praga Południe,Poradnia Psychologiczno-Pedagogiczna nr 16,Poradnia Psychologiczno-Pedagogiczna nr 16,ul. Siennicka 40 Warszawa,Bogumiła Szmidt,226102132,przeglądaj
Wawer,Poradnia Psychologiczno-Pedagogiczna nr 17,Poradnia Psychologiczno-Pedagogiczna nr 17,ul. Żegańska 1a Warszawa,Ewelina Gieparda,222772000,przeglądaj
Ursynów,Poradnia Psychologiczno-Pedagogiczna nr 18,Poradnia Psychologiczno-Pedagogiczna nr 18,ul. Koncertowa 4 Warszawa,Irena Wojciechowska,226437808,przeglądaj
Ursynów,Poradnia Psychologiczno-Pedagogiczna nr 19,Poradnia Psychologiczno-Pedagogiczna nr 19,ul. Migdałowa 4 lok. 46 Warszawa,Beata Mierzejewska,226486837,przeglądaj
Wola,Poradnia Psychologiczno-Pedagogiczna nr 2,Poradnia Psychologiczno-Pedagogiczna nr 2,ul. Księcia Janusza 45/47 Warszawa,Małgorzata Regulska,228367088,przeglądaj
Bemowo,Poradnia Psychologiczno-Pedagogiczna nr 20,Poradnia Psychologiczno-Pedagogiczna nr 20,ul. Powstańców Śląskich 17 Warszawa,Maria Zabłocka,226661774,przeglądaj
Białołęka,Poradnia Psychologiczno-Pedagogiczna nr 21,Poradnia Psychologiczno-Pedagogiczna nr 21,ul. Marywilska 44 Warszawa,Olimpia Rumianowska-Zapiór,228141061,przeglądaj
Włochy,Poradnia Psychologiczno-Pedagogiczna nr 22,Poradnia Psychologiczno-Pedagogiczna nr 22,ul. Malownicza 31a Warszawa,Iwona Pietrasiewicz,228461918,przeglądaj
Wesoła,Poradnia Psychologiczno-Pedagogiczna nr 23,Poradnia Psychologiczno-Pedagogiczna nr 23,ul. 1 Praskiego Pułku WP (Wesoła) 8 Warszawa,Anna Skibniewska-Kwiatkowska,227600387,przeglądaj
Wilanów,Poradnia Psychologiczno-Pedagogiczna nr 24,Poradnia Psychologiczno-Pedagogiczna nr 24,Aleja Rzeczypospolitej 14 Warszawa,Ewa Sobocka,228582029,przeglądaj
Żoliborz,Poradnia Psychologiczno-Pedagogiczna nr 3,Poradnia Psychologiczno-Pedagogiczna nr 3,ul. Alojzego Felińskiego 15 Warszawa,Beata Puchała,228394867,przeglądaj
Praga Południe,Poradnia Psychologiczno-Pedagogiczna nr 4,Poradnia Psychologiczno-Pedagogiczna nr 4,ul. Mińska 1/5 Warszawa,Katarzyna Okulicz-Kozaryn,228102029,przeglądaj
Praga Północ,Poradnia Psychologiczno-Pedagogiczna nr 5,Poradnia Psychologiczno-Pedagogiczna nr 5,ul. Otwocka 3 Warszawa,Katarzyna Matusiak,226190194,przeglądaj
Wola,Poradnia Psychologiczno-Pedagogiczna nr 6,Zespół Poradni Psychologiczno-Pedagogicznych nr 1,ul. Zawiszy 13 Warszawa,Katarzyna Sieradzan,226315773,przeglądaj
Mokotów,Poradnia Psychologiczno-Pedagogiczna nr 7,Poradnia Psychologiczno-Pedagogiczna nr 7,ul. Ludwika Narbutta 65/71 Warszawa,Maria Głodek,228499998,przeglądaj
Mokotów,Poradnia Psychologiczno-Pedagogiczna nr 8,Poradnia Psychologiczno-Pedagogiczna nr 8,ul. Stępińska 6/8 Warszawa,Małgorzata Jarnuszkiewicz,228411423,przeglądaj
Ochota,Poradnia Psychologiczno-Pedagogiczna nr 9,Poradnia Psychologiczno-Pedagogiczna nr 9,ul. Radomska 13/21 Warszawa,Magdalena Łabuś-Brzezińska,228222887,przeglądaj
Mokotów,"Poradnia Specjalistyczna Młodzieżowy Ośrodek Profilaktyki i Psychoterapii ""MOP""","Poradnia Specjalistyczna Młodzieżowy Ośrodek Profilaktyki i Psychoterapii ""MOP""",ul. Boryszewska 4 Warszawa,Grażyna Wasilewska-Boroń,226465725,przeglądaj
Bielany,Pozaszkolna Placówka Specjalistyczna - Bielańskie Centrum Edukacji Kulturalnej,Pozaszkolna Placówka Specjalistyczna - Bielańskie Centrum Edukacji Kulturalnej,ul. Szegedyńska 9a Warszawa,Anna Martin,228345259,przeglądaj
poza Warszawą,"Pozaszkolna Placówka Specjalistyczna - Młodzieżowy Ośrodek Edukacyjno - Wypoczynkowy ""Zatoka Uklei"" w Gawrych Rudzie","Pozaszkolna Placówka Specjalistyczna - Młodzieżowy Ośrodek Edukacyjno - Wypoczynkowy ""Zatoka Uklei"" w Gawrych Rudzie",Gawrych Ruda Suwałki,Celina Sawicka,875639470,przeglądaj
poza Warszawą,"Pozaszkolna Placówka Specjalistyczna - Ośrodek Oświatowo – Szkoleniowy ""Arkadia"" w Kazimierzu Dolnym","Pozaszkolna Placówka Specjalistyczna - Ośrodek Oświatowo – Szkoleniowy ""Arkadia"" w Kazimierzu Dolnym",Czerniawy 1 Kazimierz Dolny,Marek Bucholc,818810074,przeglądaj
poza Warszawą,"Pozaszkolna Placówka Specjalistyczna - Ośrodek Rehabilitacyjno-Wypoczynkowy ""SYRENA"" w Mielnie","Pozaszkolna Placówka Specjalistyczna - Ośrodek Rehabilitacyjno-Wypoczynkowy ""SYRENA"" w Mielnie",Piastów 10 Mielno,Waldemar Andrzejewski,943166450,przeglądaj
poza Warszawą,"Pozaszkolna Placówka Specjalistyczna - Szkolny Ośrodek Wypoczynkowy ""ORLE GNIAZDO"" w Sromowcach Wyżnych","Pozaszkolna Placówka Specjalistyczna - Szkolny Ośrodek Wypoczynkowy ""ORLE GNIAZDO"" w Sromowcach Wyżnych",Nad Zalew 7 Sromowce,Grażyna Iber-Wojtanek,182629788,przeglądaj
poza Warszawą,"Pozaszkolna Placówka Specjalistyczna - Szkolny Ośrodek Wypoczynkowy ""SYRENKA"" w Marózie","Pozaszkolna Placówka Specjalistyczna - Szkolny Ośrodek Wypoczynkowy ""SYRENKA"" w Marózie",Maróz 5 Olsztynek,Kamil Halicki,895139215,przeglądaj
poza Warszawą,"Pozaszkolna Placówka Specjalistyczna – Międzyszkolny Ośrodek Sportowo - Szkoleniowy ""OMEGA"" w Stręgielku",Warszawskie Centrum Sportu Młodzieżowego Agrykola,Stręgielek 40 Pozezdrze,Franciszek Wierzchowski,874279012,przeglądaj
Mokotów,"Przedszkole Integracyjne nr 117 ""Przyjazna Kraina""","Przedszkole Integracyjne nr 117 ""Przyjazna Kraina""",ul. Sielecka 26 Warszawa,Agata Sośnia,228411654,przeglądaj
Targówek,Przedszkole Integracyjne nr 120,Przedszkole Integracyjne nr 120,ul. Wacława Tokarza 2 Warszawa,Edyta Grodzka,228116246,przeglądaj
Ursus,Przedszkole Integracyjne nr 137 im. Janusza Korczaka,Przedszkole Integracyjne nr 137 im. Janusza Korczaka,ul. Zagłoby 11 Warszawa,Małgorzata Polkowska,226679735,przeglądaj
Wola,"Przedszkole Integracyjne nr 209 ""Zaczarowane Ziarenko""","Przedszkole Integracyjne nr 209 ""Zaczarowane Ziarenko""",ul. Deotymy 52 Warszawa,Agnieszka Bartosiewicz,228364073,przeglądaj
Żoliborz,Przedszkole Integracyjne nr 247,Przedszkole Integracyjne nr 247,ul. Bieniewicka 32 Warszawa,Anna Kosk,228328408,przeglądaj
Ochota,Przedszkole Integracyjne nr 312,Przedszkole Integracyjne nr 312,ul. Władysława Okińskiego 5 Warszawa,Ewa Bienias,228232023,przeglądaj
Włochy,Przedszkole Integracyjne nr 314,Przedszkole Integracyjne nr 314,ul. 1 Sierpnia 36a Warszawa,Marlena Sikorska-Fiuk,228860888,przeglądaj
Śródmieście,Przedszkole Integracyjne nr 38,Przedszkole Integracyjne nr 38,Plac Bankowy 3/5 Warszawa,Beata Zawadzka,226202931,przeglądaj
Ursynów,Przedszkole Integracyjne nr 394,Przedszkole Integracyjne nr 394,ul. Leonida Teligi 1 Warszawa,Justyna Kacprzyk,226415216,przeglądaj
Ochota,Przedszkole Integracyjne nr 404,Przedszkole Integracyjne nr 404,ul. Białobrzeska 19 Warszawa,Elżbieta Pietrzak,226595018,przeglądaj
Mokotów,Przedszkole Integracyjne nr 45,Przedszkole Integracyjne nr 45,ul. Teofila Lenartowicza 4 Warszawa,Monika Mokrzyszczak,228440829,przeglądaj
Śródmieście,Przedszkole Integracyjne nr 6,Przedszkole Integracyjne nr 6,ul. Cecylii Śniegockiej 4/6 Warszawa,Aleksandra Górecka,226282729,przeglądaj
Śródmieście,Przedszkole Integracyjne nr 8,Przedszkole Integracyjne nr 8,ul. Karmelicka 3b Warszawa,Teresa Kryłowicz,228310121,przeglądaj
Śródmieście,Przedszkole nr 1,Przedszkole nr 1,ul. Grzybowska 12/14a Warszawa,Bożena Mościcka,226204727,przeglądaj
Śródmieście,Przedszkole nr 10,Przedszkole nr 10,ul. Nowolipki 10a Warszawa,Hanna Krzemińska,228310632,przeglądaj
Ochota,Przedszkole nr 100,Przedszkole nr 100,ul. Częstochowska 16/18 Warszawa,Joanna Dorosławska,228221252,przeglądaj
Ochota,Przedszkole nr 101,Przedszkole nr 101,ul. Chotomowska 3 Warszawa,Marzanna Jakóbczyk-Bogacka,228222706,przeglądaj
Targówek,Przedszkole nr 103,Przedszkole nr 103,ul. Mokra 25 Warszawa,Elżbieta Wosk,226791827,przeglądaj
Bielany,"Przedszkole nr 105 ""Wesoła Stopiątka""","Przedszkole nr 105 ""Wesoła Stopiątka""",ul. Jana Kochanowskiego 10 Warszawa,Danuta Kuczyńska,226330119,przeglądaj
Targówek,Przedszkole nr 106,Przedszkole nr 106,ul. Trocka 4 Warszawa,Maria Postek,226796799,przeglądaj
Wawer,"Przedszkole nr 107 ""Bajkowe Przedszkole""","Przedszkole nr 107 ""Bajkowe Przedszkole""",ul. Wilgi 29 Warszawa,Barbara Haczyńska,226157243,przeglądaj
Mokotów,"Przedszkole nr 108 ""Tęczowy Promyk""","Przedszkole nr 108 ""Tęczowy Promyk""",ul. Olszewska 7/9/11 Warszawa,Barbara Przygodzka,226465538,przeglądaj
Żoliborz,"Przedszkole nr 109 ""Ludeczkowo""","Przedszkole nr 109 ""Ludeczkowo""",Plac Dionizego Henkla 2 Warszawa,Beata Patoka-Szurawska,228392896,przeglądaj
Śródmieście,Przedszkole nr 11,Przedszkole nr 11,ul. Stanisława Dubois 3 Warszawa,Wanda Koter,228312017,przeglądaj
Wawer,Przedszkole nr 110,Przedszkole nr 110,ul. Bystrzycka 38 Warszawa,Anna Zbroch,228729158,przeglądaj
Ochota,Przedszkole nr 111,Przedszkole nr 111,ul. bł. Ładysława z Gielniowa 9/11 Warszawa,Anna Kośla,228752970,przeglądaj
Ursus,"Przedszkole nr 112 ""Leśne Skrzaty""","Przedszkole nr 112 ""Leśne Skrzaty""",ul. Bernarda Wapowskiego 3 Warszawa,Dorota Karczewska,226674891,przeglądaj
Targówek,"Przedszkole nr 113 ""Przedszkole w Tęczowym Kręgu""","Przedszkole nr 113 ""Przedszkole w Tęczowym Kręgu""",ul. Krasiczyńska 4/6 Warszawa,Elżbieta Pakieła,226743075,przeglądaj
Ochota,Przedszkole nr 114,Przedszkole nr 114,ul. Mariana Langiewicza 1/3 Warszawa,Maria Rzecznik,228251194,przeglądaj
Targówek,"Przedszkole nr 115 ""Przedszkole Pod Klonem""","Przedszkole nr 115 ""Przedszkole Pod Klonem""",ul. Suwalska 26 Warszawa,Jolanta Skwarek,228112574,przeglądaj
Wola,Przedszkole nr 116,Przedszkole nr 116,ul. Okopowa 31 Warszawa,Wioletta Jędrzejewska,226320615,przeglądaj
Wola,Przedszkole nr 118 z Oddziałami Integracyjnymi,Przedszkole nr 118 z Oddziałami Integracyjnymi,ul. Nowolipie 31a Warszawa,Agnieszka Wróbel,228384935,przeglądaj
Targówek,"Przedszkole nr 119 ""W Zielonym Ogrodzie""","Przedszkole nr 119 ""W Zielonym Ogrodzie""",ul. Turmoncka 18 Warszawa,Krystyna Załęska,228113589,przeglądaj
Śródmieście,Przedszkole nr 12,Przedszkole nr 12,ul. Niska 9 Warszawa,Zofia Markowicz,228317209,przeglądaj
Śródmieście,Przedszkole nr 122,Przedszkole nr 122,ul. Solec 37 Warszawa,Krystyna Długosz,226284838,przeglądaj
Targówek,"Przedszkole nr 123 ""Ocean Marzeń""","Przedszkole nr 123 ""Ocean Marzeń""",ul. Władysława Syrokomli 26 Warszawa,Małgorzata Kubiak,228115178,przeglądaj
Wola,Przedszkole nr 124,Przedszkole nr 124,ul. Dzielna 15b Warszawa,Renata Stawczyk-Mizińska,228383634,przeglądaj
Targówek,"Przedszkole nr 125 ""Pod Złotym Promykiem""","Przedszkole nr 125 ""Pod Złotym Promykiem""",ul. Suwalska 15 Warszawa,Anna Ajdys,228112323,przeglądaj
Ursynów,Przedszkole nr 126,Przedszkole nr 126,ul. Wokalna 1 Warszawa,Magdalena Wasilewska-Badziak,226434796,przeglądaj
Targówek,Przedszkole nr 128,Przedszkole nr 128,ul. Henryka Sternhela 40 Warszawa,Dorota Gliwicka,509020082,przeglądaj
Śródmieście,"Przedszkole nr 129 ""Raj na Skarpie""","Przedszkole nr 129 ""Raj na Skarpie""",ul. Jazdów 10b Warszawa,Irena Wojciechowska,226282843,przeglądaj
Śródmieście,Przedszkole nr 13,Przedszkole nr 13,ul. Leona Schillera 6a Warszawa,Maria Herman,228317497,przeglądaj
Żoliborz,Przedszkole nr 130 im. Marii Kownackiej,Przedszkole nr 130 im. Marii Kownackiej,ul. Pawła Suzina 4 Warszawa,Małgorzata Woźniak,228332373,przeglądaj
Żoliborz,Przedszkole nr 131,Przedszkole nr 131,ul. Sierpecka 9a Warszawa,Edyta Szomko,228330573,przeglądaj
Żoliborz,Przedszkole nr 132,Przedszkole nr 132,ul. Śmiała 20 Warszawa,Agnieszka Rojewska,228390508,przeglądaj
Wola,Przedszkole nr 133,Przedszkole nr 133,ul. Okopowa 7a Warszawa,Hanna Kolczyńska,226320316,przeglądaj
Wola,Przedszkole nr 134,Przedszkole nr 134,ul. Leszno 24/26A Warszawa,Anna Kasztelewicz,226321016,przeglądaj
Wola,Przedszkole nr 135,Przedszkole nr 135,ul. Emanuela Ringelbluma 1 Warszawa,Ewa Beczek,228363722,przeglądaj
Wola,Przedszkole nr 136,Przedszkole nr 136,ul. Antoniego Dobiszewskiego 3a Warszawa,Beata Postek,228363482,przeglądaj
Mokotów,Przedszkole nr 138,Przedszkole nr 138,ul. Karwińska 17 Warszawa,Barbara Spurek,228444225,przeglądaj
Mokotów,Przedszkole nr 139,Przedszkole nr 139,ul. Jarosława Dąbrowskiego 71a Warszawa,Edyta Kaczmarczyk,228454403,przeglądaj
Śródmieście,Przedszkole nr 14,Przedszkole nr 14,ul. Senatorska 24 Warszawa,Barbara Czekańska,228270240,przeglądaj
Mokotów,Przedszkole nr 140,Przedszkole nr 140,ul. Kaukaska 2 Warszawa,Zofia Sidorowicz,228423628,przeglądaj
Mokotów,Przedszkole nr 142,Przedszkole nr 142,ul. Jarosława Dąbrowskiego 25 Warszawa,Marzena Kędzierska,228450314,przeglądaj
Praga Południe,Przedszkole nr 143,Przedszkole nr 143,ul. Ludwika Kickiego 5 Warszawa,Ewa Janikowska,228102813,przeglądaj
Mokotów,"Przedszkole nr 144 ""Zaczarowany Ołówek""","Przedszkole nr 144 ""Zaczarowany Ołówek""",ul. Wiktorska 95/97 Warszawa,Agnieszka Grzywacz,228442607,przeglądaj
Mokotów,"Przedszkole nr 145 ""Czterolistna Koniczynka""","Przedszkole nr 145 ""Czterolistna Koniczynka""",ul. Seweryna Goszczyńskiego 17a Warszawa,Krystyna Szymańska,228446661,przeglądaj
Mokotów,Przedszkole nr 146,Przedszkole nr 146,ul. Sandomierska 2 Warszawa,Justyna Małecka,228496552,przeglądaj
Mokotów,Przedszkole nr 147,Przedszkole nr 147,ul. Zakrzewska 13 Warszawa,Dorota Kowalczyk,228410432,przeglądaj
Mokotów,Przedszkole nr 148,Przedszkole nr 148,ul. Kazimierzowska 45 Warszawa,Magdalena Borowiecka,228492191,przeglądaj
Mokotów,Przedszkole nr 149,Przedszkole nr 149,ul. Dolna 8 Warszawa,Katarzyna Pomorska-Zając,228516027,przeglądaj
Targówek,Przedszkole nr 150,Przedszkole nr 150,ul. Prałatowska 12 Warszawa,Danuta Bajor,226795112,przeglądaj
Mokotów,Przedszkole nr 151,Przedszkole nr 151,ul. Zaciszna 3 Warszawa,Irena Mikos,228421814,przeglądaj
Praga Południe,"Przedszkole nr 153 ""Słoneczne Przedszkole""","Przedszkole nr 153 ""Słoneczne Przedszkole""",ul. Wojciecha Chrzanowskiego 19 Warszawa,Elżbieta Ziarkiewicz,228100603,przeglądaj
Targówek,"Przedszkole nr 154 ""Pod Wesołą Truskaweczką""","Przedszkole nr 154 ""Pod Wesołą Truskaweczką""",ul. św. Hieronima 5 Warszawa,Alicja Zan,228112464,przeglądaj
Targówek,"Przedszkole nr 155 ""Roztańczona Kraina""","Przedszkole nr 155 ""Roztańczona Kraina""",ul. Bartnicza 6 Warszawa,Marzena Jantas,228114349,przeglądaj
Targówek,Przedszkole nr 156,Przedszkole nr 156,ul. Żuromińska 2a Warszawa,Mariola Drzewińska,228114252,przeglądaj
Targówek,"Przedszkole nr 157 ""Przedszkole z Serduszkiem""","Przedszkole nr 157 ""Przedszkole z Serduszkiem""",ul. Bazyliańska 10 Warszawa,Ewa Maciejewska-Kamionek,228110648,przeglądaj
Rembertów,Przedszkole nr 158,Przedszkole nr 158,ul. Dwóch Mieczy 30/36 Warszawa,Magdalena Soszyńska-Kalinowska,226119132,przeglądaj
Ursynów,Przedszkole nr 159,Przedszkole nr 159,ul. Wokalna 1 Warszawa,Anna Zakrzewska,226412523,przeglądaj
Śródmieście,"Przedszkole nr 16 ""Zaczarowany Zakątek""","Przedszkole nr 16 ""Zaczarowany Zakątek""",ul. Wojciecha Górskiego 5a Warszawa,Beata Mizerska,228270944,przeglądaj
Rembertów,Przedszkole nr 160,Przedszkole nr 160,ul. Niepołomicka 26 Warszawa,Beata Krajewska,228152312,przeglądaj
Praga Południe,"Przedszkole nr 162 ""Saski Zakątek""","Przedszkole nr 162 ""Saski Zakątek""",ul. Dąbrówki 3 Warszawa,Beata Maciejewska,226173101,przeglądaj
Praga Północ,Przedszkole nr 163,Przedszkole nr 163,ul. Markowska 18a Warszawa,Katarzyna Aleksandrowicz,226192542,przeglądaj
Praga Północ,Przedszkole nr 164,Przedszkole nr 164,ul. Józefa Szanajcy 12 Warszawa,Bożena Biadoń,226197879,przeglądaj
Praga Północ,Przedszkole nr 165,Przedszkole nr 165,ul. Ratuszowa 8a Warszawa,Bożena Kuźniecow,226192804,przeglądaj
Praga Południe,Przedszkole nr 166,Przedszkole nr 166,ul. Grochowska 309/317 Warszawa,Grażyna Żelechowska,228105181,przeglądaj
Praga Północ,Przedszkole nr 167,Przedszkole nr 167,ul. Strzelecka 16 Warszawa,Bożena Kochman,226191109,przeglądaj
Ursus,"Przedszkole nr 168 ""Misiowa Gromadka""","Przedszkole nr 168 ""Misiowa Gromadka""",ul. Zagłoby 27 Warszawa,Renata Wilk,226679893,przeglądaj
Praga Północ,Przedszkole nr 169,Przedszkole nr 169,ul. Namysłowska 11 Warszawa,Anna Kłusek,226197961,przeglądaj
Śródmieście,"Przedszkole nr 17 ""Kółko Graniaste""","Przedszkole nr 17 ""Kółko Graniaste""",Plac Jana Henryka Dąbrowskiego 10 Warszawa,Dorota Łosiowska-Zawada,228265865,przeglądaj
Mokotów,Przedszkole nr 170,Przedszkole nr 170,ul. Mahatmy Gandhiego 16 Warszawa,Katarzyna Pawłowska,228446908,przeglądaj
Praga Północ,Przedszkole nr 171,Przedszkole nr 171,ul. Równa 2 Warszawa,Małgorzata Piesiewicz,226198263,przeglądaj
Wola,Przedszkole nr 172 im. Danuty Wawiłow,Przedszkole nr 172 im. Danuty Wawiłow,ul. Żytnia 71 Warszawa,Ewa Wenelczyk,226326363,przeglądaj
Praga Północ,Przedszkole nr 173,Przedszkole nr 173,ul. Karola Szymanowskiego 5a Warszawa,Hanna Piasecka,226193986,przeglądaj
Praga Północ,Przedszkole nr 174,Przedszkole nr 174,ul. Markowska 8 Warszawa,Anna Milewska,226196406,przeglądaj
Włochy,Przedszkole nr 175,Zespół Szkolno-Przedszkolny nr 5,ul. Astronautów 5 Warszawa,Michał Plewa,228461759,przeglądaj
Ochota,Przedszkole nr 176,Przedszkole nr 176,ul. Trzech Budrysów 24 Warszawa,Bożenna Mitura,228225785,przeglądaj
Praga Południe,"Przedszkole nr 177 ""Bajkowe Przedszkole""","Przedszkole nr 177 ""Bajkowe Przedszkole""",ul. Tarnowiecka 4 Warszawa,Joanna Hajduk,226125819,przeglądaj
Praga Południe,"Przedszkole nr 178 ""Kolorowa Kraina""","Przedszkole nr 178 ""Kolorowa Kraina""",ul. Londyńska 10 Warszawa,Marzenna Szeler,226176401,przeglądaj
Praga Południe,Przedszkole nr 179,Przedszkole nr 179,ul. Jarocińska 12/14 Warszawa,Jolanta Kostko,226104370,przeglądaj
Targówek,Przedszkole nr 18,Przedszkole nr 18,ul. Simóna Bolívara 6 Warszawa,Eliza Polak,228112441,przeglądaj
Praga Południe,Przedszkole nr 180,Przedszkole nr 180,ul. Niekłańska 40 Warszawa,Agnieszka Górzyńska-Kępka,226176732,przeglądaj
Bielany,"Przedszkole nr 181 ""Wesołe Nutki""","Przedszkole nr 181 ""Wesołe Nutki""",ul. Ksawerego Pruszyńskiego 5 Warszawa,Katarzyna Gołacka,228341630,przeglądaj
Bielany,"Przedszkole nr 182 ""Tajemniczy Ogród""","Przedszkole nr 182 ""Tajemniczy Ogród""",ul. Zofii Nałkowskiej 3 Warszawa,Agnieszka Borowa,226696685,przeglądaj
Praga Północ,Przedszkole nr 183,Przedszkole nr 183,ul. Jagiellońska 28 Warszawa,Lidia Kołodziej,226193645,przeglądaj
Praga Północ,Przedszkole nr 184,Przedszkole nr 184,ul. Ratuszowa 21 Warszawa,Anna Sztarbało,226198196,przeglądaj
